stationnames,subwayCount,transferCount,tr,interchangeCount,intechangeDis,transferTime,transferDis,area,ob,ic
火箭万源,2175,22,0.010114943,496.083333,434.1610802,1112.916666,3649.532351,114.0506507,0.210764975,1.525977011
马各庄,764,24,0.031413613,190.5,156.1512597,1988.5,13312.10582,932.0165084,0.739907735,1.27617801
生物医药基地,8481,25,0.002947766,365.12,148.7369194,788.28,2854.873641,96.99601538,0.659850411,0.156231576
大红门南,1001,26,0.025974026,550.608695,344.3033413,591,2696.248112,119.9130821,0.047757706,5.250749251
良乡大学城,4109,26,0.006327574,214.153846,80.13292372,373.307692,2240.616149,7.51685342,0.833306141,0.078851302
传媒大学,9831,28,0.002848133,404.15,176.3223957,686.85,2601.690828,34.0073536,0.854776087,0.216559862
慈寿寺,8222,30,0.003648747,341.642857,315.9237977,651.642857,2122.96043,55.41693577,0.741744795,0.470201897
大井,3667,31,0.008453777,411.548387,204.5589956,411.967741,1819.367751,31.36491642,0.769043731,0.493046087
黄渠,13293,31,0.002332054,253.607142,400.9030756,581.107142,392.9653213,0.611880449,0.634308303,0.353419093
景泰,5672,31,0.005465444,517.870967,272.9829487,729.516129,2709.666862,72.0564743,0.445764968,0.960155148
瀛海,3087,32,0.010366051,183.3125,439.8327037,554.4375,1829.414012,10.23883682,0.884034022,0.276320052
良乡大学城西,5159,38,0.007365769,112.18421,29.27336575,279.973684,1113.121447,2.690958037,0.780440214,0.116883117
北邵洼,1927,39,0.020238713,260.157894,198.4298305,856.736842,5853.696234,49.7275089,0.922426641,0.23300467
双合,6269,43,0.006859148,890.767441,495.3697096,798,3521.308472,92.45063525,0.370594157,0.449992024
紫草坞,238,43,0.180672269,397.279069,426.4125817,836.604651,5370.638838,48.68929777,0.823150419,1.130252101
灯市口,14843,46,0.003099104,727.390243,284.6326,1036.487804,2569.771763,51.8953194,0.605970852,0.595566934
小园,1854,46,0.024811219,317.295454,179.9033927,693.522727,3785.123023,193.4469178,0.584451255,2.041531823
五福堂,1743,50,0.028686173,220.2,409.7266833,252.8,1659.341194,10.31811469,0.593261661,0.820424555
广渠门内,11233,56,0.004985311,685.375,196.2347077,692.553571,2429.28218,42.32307653,0.735514615,0.782693848
建国门,18789,56,0.002980467,709.666666,468.4089694,1411.686274,8224.621646,1119.187439,0.690577508,0.419766885
北海北,8943,57,0.0063737,667.945454,281.23713,793.963636,2100.860288,46.47578393,0.602318687,1.04159678
天安门西,4248,67,0.015772128,515.014925,275.4279288,959.80597,2417.285446,39.75609879,0.407181569,1.004708098
焦化厂,2643,71,0.026863413,933.802816,578.5739233,744.352112,3185.796575,40.07023181,0.38413514,0.835035944
郝家府,2275,75,0.032967033,176.36,108.5352084,825.04,3905.932876,21.88990711,0.781776972,0.073406593
灵镜胡同,11685,75,0.006418485,528.24,154.8598152,893.16,2564.342096,79.12768637,0.177738521,0.755669662
农大南路,3719,75,0.020166711,467.52,327.6134754,1049.88,4781.721657,233.2159919,0.516929399,2.687012638
房山城关,1119,79,0.070598749,144.987341,40.88903037,725.911392,2283.859208,22.15792438,0.724218091,3.863270777
石厂,1687,79,0.04682869,209.987341,201.2109709,1299.645569,6678.817426,167.0509086,0.762253304,1.214582098
珠市口,5226,84,0.016073479,425.797468,248.970935,1432.443037,4583.330124,200.7735675,0.369055863,1.582280903
饶乐府,834,91,0.10911271,235.208791,183.835841,1811.703296,12189.62875,649.1756223,0.660409206,1.29736211
屯佃,3517,94,0.026727324,404.357142,225.9217832,871.785714,4424.416019,144.0146686,0.256457951,0.705715098
八里桥,3334,96,0.028794241,351.489583,271.5206599,1088.135416,3780.250165,51.79795654,0.40319472,1.512897421
东单,21404,98,0.004578583,543.138297,237.09207,1192.670212,4806.804417,230.9935722,0.553740161,0.435012147
天桥,2614,98,0.037490436,669.336734,335.4181992,3263.336734,21886.72884,3351.163516,0.748627613,7.664116297
火器营,5162,100,0.019372336,242.61,116.9897391,411.59,2407.002042,8.648230664,0.672637056,0.158465711
广渠门外,8659,101,0.011664164,478.099009,302.6495241,517.732673,1980.033202,66.68514595,0.19055726,0.99283982
鼓楼大街,11800,102,0.008644068,418.284313,300.9626259,464.833333,1928.78361,49.70126907,0.419845627,0.49
阜通,10362,106,0.010229685,510.590476,247.9926079,471.838095,1559.85945,42.95875897,0.078086027,0.64282957
白堆子,10034,109,0.010863066,358.037037,259.888916,362.629629,1671.474449,19.06330114,0.732270319,0.566772972
知春里,10339,112,0.010832769,378.796296,335.2009137,446.87037,1482.640941,37.18926672,0.47669238,0.773188896
北新桥,9732,115,0.011816687,359.182608,256.0267592,499.643478,1722.96226,35.89501663,0.255768381,0.670160296
和义,2874,115,0.040013918,282.313043,175.4644748,964.686956,3732.149857,76.09888658,0.432651749,2.188239388
魏公村,14445,115,0.007961232,546.513043,420.1093993,565.87826,2267.11953,100.4335597,0.30701877,0.850882658
石门,9517,118,0.012398865,278.169491,292.3543243,275.576271,971.0398907,9.596553943,0.458202986,0.089103709
